Date,Open,High,Low,Close,Adj Close,Volume
2016-08-08,23.670000,24.120001,23.299999,23.750000,22.536915,390200
2016-08-15,23.809999,24.090000,23.379999,23.719999,22.556541,447800
2016-08-22,23.620001,23.950001,23.400000,23.490000,22.337822,509700
2016-08-29,23.490000,23.930000,23.260000,23.840000,22.670654,223200
2016-09-05,23.780001,23.889999,23.020000,23.030001,21.900385,335500
2016-09-12,22.900000,23.250000,22.530001,23.160000,22.024008,327000
2016-09-19,23.219999,24.219999,22.959999,24.049999,22.870354,253900
2016-09-26,23.940001,24.000000,23.469999,23.650000,22.489975,268600
2016-10-03,23.680000,23.809999,23.059999,23.209999,22.071556,234000
2016-10-10,23.370001,23.690001,23.110001,23.559999,22.404385,257400
2016-10-17,23.570000,24.549999,23.559999,24.209999,23.022507,533500
2016-10-24,24.360001,25.290001,23.430000,23.570000,22.413898,524200
2016-10-31,23.600000,23.860001,23.360001,23.480000,22.328306,568400
2016-11-07,23.719999,25.809999,23.580000,25.540001,24.287273,881800
2016-11-14,25.910000,26.440001,25.200001,26.420000,25.175997,777100
2016-11-21,26.500000,27.129999,26.370001,26.990000,25.719158,296400
2016-11-28,26.930000,27.780001,26.870001,27.500000,26.205139,447600
2016-12-05,27.709999,28.860001,27.600000,28.780001,27.424873,564100
2016-12-12,28.650000,28.980000,28.290001,28.860001,27.501104,791700
2016-12-19,29.000000,29.090000,28.459999,28.690001,27.339109,294700
2016-12-26,28.620001,29.110001,28.459999,28.639999,27.291460,213600
2017-01-02,28.860001,28.879999,28.000000,28.170000,26.843596,461300
2017-01-09,28.040001,28.240000,27.030001,27.379999,26.090794,497700
2017-01-16,27.330000,27.500000,26.930000,26.990000,25.719158,247600
2017-01-23,26.900000,27.090000,26.459999,26.520000,25.271286,282200
2017-01-30,26.510000,26.510000,25.549999,26.469999,25.223639,651200
2017-02-06,26.150000,26.889999,26.150000,26.600000,25.347523,287800
2017-02-13,26.799999,28.280001,26.260000,26.520000,25.319241,1053300
2017-02-20,26.650000,27.410000,26.540001,26.549999,25.347878,219800
2017-02-27,26.520000,26.590000,25.459999,25.780001,24.612745,427000
2017-03-06,25.680000,27.120001,25.440001,26.490000,25.290598,337000
2017-03-13,26.469999,27.150000,26.020000,27.059999,25.834787,311200
2017-03-20,27.160000,27.440001,26.410000,26.820000,25.605654,455200
